Iteration,Winrate,Total Profit,Total R Multiples,Average R Multiple,Sharpe Ratio,Sortino Ratio,Omega Ratio,CAGR,Max Drawdown,MAR,CAGMAR
21,0.4857142857142857,223632.97735576768,37.834536838723146,0.5404933834103307,0.28993670589538223,1.638680056764691,2.8490280613732875,0.12733436201765747,-0.19940308072359803,0.6385777068016396,0.6385777068016396
22,0.4166666666666667,96722.53560148622,21.357094307905566,0.29662630983202176,0.1883817467984657,0.9210086953468648,1.9261406436647555,0.07149187886777941,-0.21810634128163986,0.32778450386943236,0.32778450386943236
23,0.4492753623188406,82652.13967382643,17.83429230418464,0.25846800440847306,0.19237123152852084,0.8198720480848288,1.8700322495284787,0.06340760321024397,-0.19072140201469373,0.33246191848652024,0.33246191848652024
24,0.4782608695652174,150346.06728041143,35.28044565452594,0.5113108065873325,0.2607229046503878,1.237354329587642,2.3727681942402343,0.09817749415054777,-0.2559075231084133,0.3836444234152335,0.3836444234152335
25,0.4861111111111111,186639.404511731,36.2561268171148,0.5035573169043722,0.27460674630596765,1.5527280459478618,2.628529531631031,0.11345532206424025,-0.20455467683475262,0.5546454562654364,0.5546454562654364
26,0.47297297297297297,240259.33331856347,41.51138688496951,0.5609646876347231,0.2920236871649423,1.630363373598758,2.897760516336012,0.13311282319629125,-0.15982347453541973,0.8328740417090049,0.8328740417090049
27,0.4084507042253521,109046.22565994383,22.224732567995577,0.3130244023661349,0.20208731369960334,0.9774609940410324,1.9910514776977832,0.07815672845157917,-0.22219627906202674,0.35174634238479524,0.35174634238479524
28,0.4264705882352941,77176.50082374888,23.39200079614349,0.3440000117079925,0.17804281366508592,0.8295216537093596,1.8521582795410432,0.06010955844117993,-0.21857846856225274,0.27500219411620724,0.27500219411620724
29,0.4492753623188406,168476.61244422238,31.5019061171452,0.4565493640165971,0.2642202797363361,1.489661047770306,2.474869439230544,0.10604161604664197,-0.21117579218115462,0.502148541513108,0.502148541513108
30,0.4714285714285714,185458.40496971528,35.16632345777246,0.5023760493967494,0.26125636441323685,1.3493605694671986,2.57111278512886,0.11298627125703065,-0.18806349987118273,0.600787879277066,0.600787879277066
31,0.4594594594594595,166247.13460404438,30.660760966976763,0.41433460766184815,0.25331728023812516,1.2185725893618071,2.344703978324755,0.10510076382726763,-0.19870498859417912,0.528928662389639,0.528928662389639
